qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1_sec,q2_sec,q3_sec
1,18,1,1,22,1,1:26.572,1:25.187,1:26.714,86.572,85.187,86.714
2,18,9,2,4,2,1:26.103,1:25.315,1:26.869,86.10300000000001,85.315,86.869
3,18,5,1,23,3,1:25.664,1:25.452,1:27.079,85.664,85.452,87.07900000000001
4,18,13,6,2,4,1:25.994,1:25.691,1:27.178,85.994,85.691,87.178
5,18,2,2,3,5,1:25.960,1:25.518,1:27.236,85.96000000000001,85.518,87.236
6,18,15,7,11,6,1:26.427,1:26.101,1:28.527,86.42699999999999,86.101,88.527
7,18,3,3,7,7,1:26.295,1:26.059,1:28.687,86.295,86.059,88.687
8,18,14,9,9,8,1:26.381,1:26.063,1:29.041,86.381,86.063,89.041
9,18,10,7,12,9,1:26.919,1:26.164,1:29.593,86.919,86.164,89.593
10,18,20,5,15,10,1:26.702,1:25.842,,86.702,85.842,
11,18,22,11,17,11,1:26.369,1:26.173,,86.369,86.173,
12,18,4,4,5,12,1:26.907,1:26.188,,86.907,86.188,
13,18,18,11,16,13,1:26.712,1:26.259,,86.712,86.259,
14,18,6,3,8,14,1:26.891,1:26.413,,86.89099999999999,86.413,
15,18,17,9,10,15,1:26.914,,,86.914,,
16,18,8,6,1,16,1:26.140,,,86.14,,
17,18,21,10,21,17,1:27.207,,,87.207,,
18,18,7,5,14,18,1:27.446,,,87.446,,
19,18,16,10,20,19,1:27.859,,,87.85900000000001,,
20,18,11,8,18,20,1:28.208,,,88.208,,
21,18,12,4,6,21,1:28.330,,,88.33,,
22,18,19,8,19,22,1:29.059,,,89.059,,
23,19,13,6,2,1,1:35.347,1:34.412,1:35.748,95.34700000000001,94.412,95.74799999999999
24,19,8,6,1,2,1:35.645,1:34.188,1:36.230,95.64500000000001,94.188,96.22999999999999
25,19,5,1,23,3,1:35.227,1:34.759,1:36.613,95.227,94.759,96.613
26,19,1,1,22,4,1:35.392,1:34.627,1:36.709,95.392,94.62700000000001,96.709
27,19,15,7,11,5,1:35.205,1:34.960,1:36.711,95.205,94.96000000000001,96.711
28,19,9,2,4,6,1:35.794,1:34.811,1:36.727,95.794,94.811,96.727
29,19,2,2,3,7,1:35.729,1:34.648,1:36.753,95.729,94.648,96.753
30,19,17,9,10,8,1:35.440,1:34.967,1:37.009,95.44,94.967,97.009
31,19,4,4,5,9,1:35.983,1:35.140,1:38.450,95.983,95.14,98.45
32,19,10,7,12,10,1:35.891,1:35.000,1:39.656,95.89099999999999,95.0,99.656
33,19,18,11,16,11,1:35.847,1:35.208,,95.84700000000001,95.208,
34,19,14,9,9,12,1:36.058,1:35.408,,96.05799999999999,95.408,
35,19,12,4,6,13,1:36.074,1:35.562,,96.074,95.562,
36,19,22,11,17,14,1:36.198,1:35.622,,96.19800000000001,95.622,
37,19,20,5,15,15,1:36.111,1:35.648,,96.11099999999999,95.648,
38,19,3,3,7,16,1:35.843,1:35.670,,95.843,95.67,
39,19,21,10,21,17,1:36.240,,,96.24000000000001,,
40,19,6,3,8,18,1:36.388,,,96.388,,
41,19,7,5,14,19,1:36.677,,,96.67699999999999,,
42,19,11,8,18,20,1:37.087,,,97.087,,
43,19,16,10,20,21,1:37.101,,,97.101,,
44,19,19,8,19,22,1:37.481,,,97.481,,
45,20,9,2,4,1,1:32.893,1:31.745,1:33.096,92.893,91.745,93.096
46,20,13,6,2,2,1:31.937,1:31.188,1:33.123,91.937,91.188,93.12299999999999
47,20,1,1,22,3,1:32.750,1:31.922,1:33.292,92.75,91.922,93.292
48,20,8,6,1,4,1:32.652,1:31.933,1:33.418,92.652,91.93299999999999,93.418
49,20,5,1,23,5,1:33.057,1:31.718,1:33.488,93.057,91.718,93.488
50,20,2,2,3,6,1:33.137,1:31.909,1:33.737,93.137,91.90899999999999,93.737
51,20,15,7,11,7,1:32.493,1:32.159,1:33.994,92.493,92.15899999999999,93.994
52,20,3,3,7,8,1:32.903,1:32.185,1:34.015,92.90299999999999,92.185,94.015
53,20,18,11,16,9,1:32.793,1:32.362,1:35.057,92.793,92.362,95.057
54,20,4,4,5,10,1:32.947,1:32.345,1:35.115,92.947,92.345,95.11500000000001
55,20,17,9,10,11,1:33.194,1:32.371,,93.194,92.37100000000001,
